Brand,Model,Fuel Type,Fuel Consumption,Engine volume (L),Power (PS),Torque (N*m),0-100 km/h (s),Max speed (km/h),Length (mm),Width (mm),Height (mm),Weight (kg)
Nissan,1.5 Di (65 Hp),Diesel,5.6,1.461,65,160,17.0,155,3715,1660,1525,980
Nissan,160 SR (110 Hp),Petrol (Gasoline),8.7,1.598,110,153,9.8,183,3719,1660,1540,1024
Nissan,1.4 16V (88 Hp),Petrol (Gasoline),8.2,1.386,88,128,12.8,176,3808,1668,1441,1135
Nissan,1.6 16V (110 Hp),Petrol (Gasoline),8.7,1.598,110,153,10.6,191,3808,1668,1441,1150
Nissan,1.0 (60 Hp),Petrol (Gasoline),7.0,0.998,60,80,15.5,150,3746,1595,1440,835
Nissan,1.0i 16V (54 Hp),Petrol (Gasoline),7.1,0.998,54,79,16.4,150,3695,1585,1430,775
Nissan,1.3i 16V (75 Hp),Petrol (Gasoline),6.6,1.275,75,103,12.0,170,3695,1585,1430,825
Nissan,1.4 (82 Hp),Petrol (Gasoline),7.7,1.348,82,108,11.9,170,3746,1595,1440,865
Nissan,1.5 D (57 Hp),Diesel,6.4,1.527,57,95,18.0,146,3695,1585,1430,900
Nissan,1.6i (114 Hp),Petrol (Gasoline),8.9,1.598,114,156,12.9,174,4530,1780,1645,1404
Nissan,2.0i (141 Hp),Petrol (Gasoline),11.1,1.997,141,196,11.1,190,4530,1780,1645,1476
Nissan,2.0i (141 Hp) 4x4,Petrol (Gasoline),11.4,1.997,141,196,10.9,188,4530,1780,1645,1529
Nissan,2.0i (141 Hp) 4x4 CVT,Petrol (Gasoline),10.9,1.997,141,196,11.7,177,4530,1780,1645,1583
Nissan,1.5 dCi (103 Hp),Diesel,6.6,1.461,103,240,12.2,173,4315,1780,1605,1407
Nissan,1.6 (114 Hp),Petrol (Gasoline),8.4,1.598,114,160,12.0,175,4315,1780,1605,1297
Nissan,2.0 (141 Hp),Petrol (Gasoline),10.7,1.997,141,193,10.1,192,4315,1780,1605,1356
Nissan,2.0 dCi (150 Hp),Diesel,8.6,1.995,150,320,10.5,191,4315,1780,1605,1445
Nissan,1.6 i 16V (107 Hp),Petrol (Gasoline),9.2,1.597,107,150,12.1,184,4510,1710,1440,1160
Nissan,1.6 i 16V (107 Hp) Automatic,Petrol (Gasoline),10.4,1.597,107,150,13.9,177,4510,1710,1440,1185
Nissan,1.8 (114 Hp),Petrol (Gasoline),10.3,1.769,114,158,12.7,173,4264,1758,1608,1370
Nissan,2.0 (136 Hp) CVT,Petrol (Gasoline),12.9,1.998,136,175,12.6,180,4264,1758,1608,1435
Nissan,2.2 dCi (136 Hp),Diesel,8.6,2.184,136,314,10.5,187,4264,1758,1611,1455
Nissan,2.2 Di (114 Hp),Diesel,8.3,2.184,114,235,12.2,180,4264,1758,1608,1480
Nissan,1.5 (90 Hp),Petrol (Gasoline),8.6,1.497,90,128,13.8,173,4425,1695,1445,1105
Nissan,1.5 16V (98 Hp),Petrol (Gasoline),8.6,1.497,98,136,13.1,177,4425,1695,1445,1105
